name,appid,genre
Dota 2,570,Action
Dota 2,570,Free to Play
Dota 2,570,Strategy
Counter-Strike: Global Offensive,730,Action
Counter-Strike: Global Offensive,730,Free to Play
Apex Legends,1172470,Action
Apex Legends,1172470,Adventure
Apex Legends,1172470,Free to Play
PUBG: BATTLEGROUNDS,578080,Action
PUBG: BATTLEGROUNDS,578080,Adventure
PUBG: BATTLEGROUNDS,578080,Free to Play
PUBG: BATTLEGROUNDS,578080,Massively Multiplayer
New World,1063730,Action
New World,1063730,Adventure
New World,1063730,Massively Multiplayer
New World,1063730,RPG
Team Fortress 2,440,Action
Team Fortress 2,440,Free to Play
Grand Theft Auto V,271590,Action
Grand Theft Auto V,271590,Adventure
Lost Ark,1599340,Action
Lost Ark,1599340,Adventure
Lost Ark,1599340,Free to Play
Lost Ark,1599340,Massively Multiplayer
Lost Ark,1599340,RPG
Left 4 Dead 2,550,Action
Unturned,304930,Action
Unturned,304930,Adventure
Unturned,304930,Casual
Unturned,304930,Free to Play
Unturned,304930,Indie
Rust,252490,Action
Rust,252490,Adventure
Rust,252490,Indie
Rust,252490,Massively Multiplayer
Rust,252490,RPG
Warframe,230410,Action
Warframe,230410,Free to Play
Warframe,230410,RPG
Terraria,105600,Action
Terraria,105600,Adventure
Terraria,105600,Indie
Terraria,105600,RPG
ELDEN RING,1245620,Action
ELDEN RING,1245620,RPG
Brawlhalla,291550,Action
Brawlhalla,291550,Free to Play
Brawlhalla,291550,Indie
War Thunder,236390,Action
War Thunder,236390,Free to Play
War Thunder,236390,Massively Multiplayer
War Thunder,236390,Simulation
Half-Life 2: Lost Coast,340,Action
Destiny 2,1085660,Action
Destiny 2,1085660,Adventure
Destiny 2,1085660,Free to Play
Tom Clancy's Rainbow Six Siege,359550,Action
Path of Exile,238960,Action
Path of Exile,238960,Adventure
Path of Exile,238960,Free to Play
Path of Exile,238960,Indie
Path of Exile,238960,Massively Multiplayer
Path of Exile,238960,RPG
PAYDAY 2,218620,Action
PAYDAY 2,218620,RPG
Valheim,892970,Action
Valheim,892970,Adventure
Valheim,892970,Indie
Valheim,892970,RPG
Valheim,892970,Early Access
Grand Theft Auto IV: Complete Edition,901583,Action
Grand Theft Auto IV: Complete Edition,901583,Adventure
Fall Guys: Ultimate Knockout,1097150,Action
Fall Guys: Ultimate Knockout,1097150,Casual
Fall Guys: Ultimate Knockout,1097150,Indie
Fall Guys: Ultimate Knockout,1097150,Massively Multiplayer
Fall Guys: Ultimate Knockout,1097150,Sports
The Forest,242760,Action
The Forest,242760,Adventure
The Forest,242760,Indie
The Forest,242760,Simulation
ARK: Survival Evolved,346110,Action
ARK: Survival Evolved,346110,Adventure
ARK: Survival Evolved,346110,Indie
ARK: Survival Evolved,346110,Massively Multiplayer
ARK: Survival Evolved,346110,RPG
鬼谷八荒 Tale of Immortal,1468810,Action
鬼谷八荒 Tale of Immortal,1468810,Adventure
鬼谷八荒 Tale of Immortal,1468810,Indie
鬼谷八荒 Tale of Immortal,1468810,RPG
鬼谷八荒 Tale of Immortal,1468810,Simulation
鬼谷八荒 Tale of Immortal,1468810,Early Access
Paladins,444090,Action
Paladins,444090,Adventure
Paladins,444090,Free to Play
Paladins,444090,Massively Multiplayer
Paladins,444090,Strategy
Warface,291480,Action
Warface,291480,Adventure
Warface,291480,Free to Play
Warface,291480,Massively Multiplayer
Warface,291480,RPG
Warface,291480,Simulation
Warface,291480,Strategy
Counter-Strike,10,Action
Borderlands 2,49520,Action
Borderlands 2,49520,RPG
Dead by Daylight,381210,Action
Halo Infinite,1240440,Action
Halo Infinite,1240440,Free to Play
Heroes & Generals,227940,Action
Heroes & Generals,227940,Free to Play
Heroes & Generals,227940,Indie
Heroes & Generals,227940,Massively Multiplayer
Heroes & Generals,227940,Strategy
Rocket League,252950,Action
Rocket League,252950,Indie
Rocket League,252950,Racing
Rocket League,252950,Sports
Portal 2,620,Action
Portal 2,620,Adventure
Half-Life 2: Deathmatch,320,Action
Phasmophobia,739630,Action
Phasmophobia,739630,Indie
Phasmophobia,739630,Early Access
SMITE,386360,Action
SMITE,386360,Free to Play
Hogwarts Legacy,990080,Action
Hogwarts Legacy,990080,Adventure
Hogwarts Legacy,990080,RPG
Ring of Elysium,755790,Action
Ring of Elysium,755790,Free to Play
Ring of Elysium,755790,Massively Multiplayer
Black Squad,550650,Action
Black Squad,550650,Free to Play
Counter-Strike: Source,240,Action
Call of Duty: Modern Warfare II,1938090,Action
Z1 Battle Royale,433850,Action
Z1 Battle Royale,433850,Adventure
Z1 Battle Royale,433850,Free to Play
Z1 Battle Royale,433850,Massively Multiplayer
Monster Hunter: World,582010,Action
Street Warriors Online,417910,Action
Street Warriors Online,417910,Massively Multiplayer
Street Warriors Online,417910,Simulation
Street Warriors Online,417910,Sports
Trove,304050,Action
Trove,304050,Adventure
Trove,304050,Casual
Trove,304050,Free to Play
Trove,304050,Massively Multiplayer
Trove,304050,RPG
Portal,400,Action
World of Tanks Blitz,444200,Action
World of Tanks Blitz,444200,Free to Play
World of Tanks Blitz,444200,Massively Multiplayer
Half-Life,70,Action
Minion Masters,489520,Action
Minion Masters,489520,Adventure
Minion Masters,489520,Free to Play
Minion Masters,489520,Indie
Minion Masters,489520,RPG
Minion Masters,489520,Strategy
Dying Light,239140,Action
Dying Light,239140,RPG
Hollow Knight,367520,Action
Hollow Knight,367520,Adventure
Hollow Knight,367520,Indie
7 Days to Die,251570,Action
7 Days to Die,251570,Adventure
7 Days to Die,251570,Indie
7 Days to Die,251570,RPG
7 Days to Die,251570,Simulation
7 Days to Die,251570,Strategy
7 Days to Die,251570,Early Access
Half-Life 2,220,Action
Battlefield 2042,1517290,Action
Battlefield 2042,1517290,Adventure
Battlefield 2042,1517290,Casual
PlanetSide 2,218230,Action
PlanetSide 2,218230,Free to Play
PlanetSide 2,218230,Massively Multiplayer
