,appid,name,developer,publisher,positive,negative,avg_owners,average_forever,average_2weeks,median_forever,median_2weeks,price,ccu,positive_ratio,genre_Action,genre_Strategy,genre_RPG,genre_Indie,genre_Adventure,genre_Sports,genre_Simulation,genre_Early+Access,genre_Ex+Early+Access,genre_Massively,genre_Free
0,570,Dota 2,Valve,Valve,1611153,338953,350000000,37228,1393,853,711,0,532699,0.8261873969927789,1,1,0,0,0,0,0,0,0,0,1
1,730,Counter-Strike: Global Offensive,"Valve, Hidden Path Entertainment",Valve,6207621,811918,75000000,30347,822,5979,331,0,1010721,0.8843345695493678,1,0,0,0,0,0,0,0,0,0,1
2,1172470,Apex Legends,Respawn Entertainment,Electronic Arts,513660,105734,75000000,8491,917,834,498,0,363786,0.8292944394036752,1,0,0,0,1,0,0,0,0,0,1
3,578080,PUBG: BATTLEGROUNDS,"KRAFTON, Inc.","KRAFTON, Inc.",1231039,925364,75000000,22551,734,5940,230,0,328139,0.5708761302966097,1,0,0,0,1,0,0,0,1,1,1
4,1063730,New World,Amazon Games,Amazon Games,176376,75957,75000000,9175,723,3226,454,1999,17498,0.6989811082973689,1,0,1,0,1,0,0,0,0,1,0
5,440,Team Fortress 2,Valve,Valve,883078,58714,75000000,8909,1214,421,113,0,100175,0.9376571472257144,1,0,0,0,0,0,0,0,0,0,1
6,271590,Grand Theft Auto V,Rockstar North,Rockstar Games,1301322,218427,75000000,13540,589,6105,143,2998,109847,0.8562742926628015,1,0,0,0,1,0,0,0,0,0,0
7,1599340,Lost Ark,Smilegate RPG,Amazon Games,136970,53607,35000000,3768,1303,744,836,0,85067,0.718712121609638,1,0,1,0,1,0,0,0,0,1,1
8,550,Left 4 Dead 2,Valve,Valve,702272,17857,35000000,2309,320,520,113,99,44785,0.975203053897288,1,0,0,0,0,0,0,0,0,0,0
9,304930,Unturned,Smartly Dressed Games,Smartly Dressed Games,464351,43104,35000000,6654,5845,293,2420,0,51599,0.9150584780916534,1,0,0,1,1,0,0,0,1,0,1
10,252490,Rust,Facepunch Studios,Facepunch Studios,782870,117884,35000000,22357,1553,3012,557,2679,96648,0.8691274199170916,1,0,1,1,1,0,0,0,1,1,0
11,230410,Warframe,Digital Extremes,Digital Extremes,459224,71505,35000000,10764,1195,452,253,0,43644,0.8652702226560071,1,0,1,0,0,0,0,0,0,0,1
12,105600,Terraria,Re-Logic,Re-Logic,1079842,24478,35000000,6959,539,2075,204,499,36866,0.9778343233845262,1,0,1,1,1,0,0,0,0,0,0
13,1245620,ELDEN RING,FromSoftware Inc.,"FromSoftware Inc., Bandai Namco Entertainment",602046,53898,35000000,6580,589,5146,245,5999,40195,0.917831400241484,1,0,1,0,0,0,0,0,0,0,0
14,291550,Brawlhalla,Blue Mammoth Games,Ubisoft,265527,51719,35000000,2010,185,167,66,0,13097,0.8369750918845312,1,0,0,1,0,0,0,0,1,0,1
15,236390,War Thunder,Gaijin Entertainment,Gaijin Distribution KFT,300849,82241,35000000,5909,852,462,438,0,73996,0.7853219870004438,1,0,0,0,0,0,1,0,0,1,1
16,340,Half-Life 2: Lost Coast,Valve,Valve,10114,1289,35000000,41,0,20,0,0,29,0.886959572042445,1,0,0,0,0,0,0,0,0,0,0
17,1085660,Destiny 2,Bungie,Bungie,442135,89132,35000000,8276,1965,361,1277,0,171726,0.8322274863674951,1,0,0,0,1,0,0,0,0,0,1
18,359550,Tom Clancy's Rainbow Six Siege,Ubisoft Montreal,Ubisoft,971361,152575,35000000,13538,610,2696,243,799,56655,0.8642493878655012,1,0,0,0,0,0,0,0,0,0,0
19,238960,Path of Exile,Grinding Gear Games,Grinding Gear Games,173120,24177,35000000,5930,207,331,284,0,17957,0.8774588564448522,1,0,1,1,1,0,0,0,0,1,1
20,218620,PAYDAY 2,OVERKILL - a Starbreeze Studio.,Starbreeze Publishing AB,551358,63684,35000000,9031,4575,630,1154,249,49348,0.8964558517954871,1,0,1,0,0,0,0,0,0,0,0
21,892970,Valheim,Iron Gate AB,Coffee Stain Publishing,376483,20041,35000000,3484,505,1367,288,1399,34175,0.949458292562367,1,0,1,1,1,0,0,1,1,0,0
22,1097150,Fall Guys: Ultimate Knockout,Mediatonic,ICAD/VisionLab PUC-Rio,385446,88726,35000000,1223,119,563,55,0,2182,0.8128822452612132,1,0,0,1,0,1,0,0,0,1,0
23,242760,The Forest,Endnight Games Ltd,Endnight Games Ltd,451470,21628,35000000,1577,262,816,149,1099,12569,0.954284313186697,1,0,0,1,1,0,1,0,0,0,0
24,346110,ARK: Survival Evolved,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC",Studio Wildcard,512943,103852,15000000,12548,2051,912,947,499,50732,0.8316263912645206,1,0,1,1,1,0,0,0,1,1,0
25,1468810,鬼谷八荒 Tale of Immortal,鬼谷工作室,"鬼谷工作室, Lightning Games",109160,106153,15000000,4270,363,2111,356,1699,7915,0.5069828575144093,1,0,1,1,1,0,1,1,0,0,0
26,444090,Paladins,Evil Mojo Games,Hi-Rez Studios,286079,49146,15000000,2547,145,476,59,0,9899,0.8533939891117905,1,1,0,0,1,0,0,0,0,1,1
27,291480,Warface,MY.GAMES,MY.GAMES,54561,26357,15000000,1034,8,112,12,0,1417,0.674275192169851,1,1,1,0,1,0,1,0,0,1,1
28,10,Counter-Strike,Valve,Valve,211646,5389,15000000,8171,50,196,29,99,14191,0.9751699034717902,1,0,0,0,0,0,0,0,0,0,0
29,49520,Borderlands 2,"Gearbox Software, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",254789,16888,15000000,3132,242,948,184,499,3780,0.9378379472682634,1,0,1,0,0,0,0,0,0,0,0
30,381210,Dead by Daylight,Behaviour Interactive Inc.,Behaviour Interactive Inc.,529433,120040,15000000,11226,698,1370,401,799,36038,0.815173225060934,1,0,0,0,0,0,0,0,0,0,0
31,1240440,Halo Infinite,343 Industries,Xbox Game Studios,110279,46486,15000000,874,263,143,207,0,6440,0.7034669728574618,1,0,0,0,0,0,0,0,0,0,1
32,227940,Heroes & Generals,TLM Partners,TLM Partners,94984,47255,15000000,851,42,90,67,0,1777,0.6677774731262172,1,1,0,1,0,0,0,0,1,1,1
33,252950,Rocket League,Psyonix LLC,Psyonix LLC,501713,64128,15000000,17208,556,3161,460,0,36809,0.8866678095083248,1,0,0,1,0,1,0,0,0,0,0
34,620,Portal 2,Valve,Valve,330918,4123,15000000,934,323,543,143,99,4982,0.987694043415582,1,0,0,0,1,0,0,0,0,0,0
35,320,Half-Life 2: Deathmatch,Valve,Valve,10418,1101,15000000,650,0,43,0,49,245,0.904418786352982,1,0,0,0,0,0,0,0,0,0,0
36,739630,Phasmophobia,Kinetic Games,Kinetic Games,521565,17489,15000000,1836,155,737,101,1189,14017,0.9675561261023942,1,0,0,1,0,0,0,1,0,0,0
37,386360,SMITE,Titan Forge Games,Hi-Rez Studios,86019,21862,15000000,2670,487,220,562,0,13946,0.7973507846608764,1,0,0,0,0,0,0,0,0,0,1
38,990080,Hogwarts Legacy,Avalanche Software,Warner Bros. Games,172742,13512,15000000,1988,384,1502,227,5999,51174,0.9274539070301846,1,0,1,0,1,0,0,0,0,0,0
39,755790,Ring of Elysium,Aurora Studio,TCH Scarlet Limited,74576,25882,15000000,882,11,115,11,0,373,0.7423599912401202,1,0,0,0,0,0,0,0,0,1,1
40,550650,Black Squad,"VALOFE, NS STUDIO",VALOFE,60870,19037,15000000,1305,1472,66,1472,0,844,0.7617605466354638,1,0,0,0,0,0,0,0,1,0,1
41,240,Counter-Strike: Source,Valve,Valve,145950,5683,15000000,9806,330,364,209,99,5385,0.9625213508932752,1,0,0,0,0,0,0,0,0,0,0
42,1938090,Call of Duty: Modern Warfare II,"Infinity Ward, Raven Software, Beenox, Treyarch, High Moon Studios, Sledgehammer Games, Activision Shanghai, Demonware, Toys for Bob",Activision,209794,129667,15000000,2739,716,584,382,4549,80435,0.6180209214018695,1,0,0,0,0,0,0,0,0,0,0
43,433850,Z1 Battle Royale,Daybreak Game Company,Daybreak Game Company,115042,92140,15000000,3181,5,174,8,0,306,0.5552702454846463,1,0,0,0,1,0,0,0,1,1,1
44,582010,Monster Hunter: World,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",325331,52381,15000000,9801,613,3353,198,1499,35735,0.8613202651755835,1,0,0,0,0,0,0,0,0,0,0
45,417910,Street Warriors Online,Crazy Rocks Studios,Crazy Rocks Studios,962,704,15000000,62,0,28,0,199,0,0.5774309723889556,1,0,0,0,0,1,1,0,1,1,0
46,304050,Trove,gamigo US Inc.,gamigo US Inc.,71991,17329,15000000,2348,31,190,56,0,1400,0.8059896999552172,1,0,1,0,1,0,0,0,0,1,1
47,400,Portal,Valve,Valve,125313,1923,15000000,328,80,182,91,99,1157,0.9848863529189852,1,0,0,0,0,0,0,0,0,0,0
48,444200,World of Tanks Blitz,Wargaming Group Limited,Wargaming Group Limited,101699,24916,15000000,4163,201,180,177,0,15346,0.803214469059748,1,0,0,0,0,0,0,0,0,1,1
49,70,Half-Life,Valve,Valve,82710,2942,15000000,704,25,192,31,99,1411,0.9656517069070192,1,0,0,0,0,0,0,0,0,0,0
50,489520,Minion Masters,BetaDwarf,BetaDwarf,54863,5317,15000000,1387,459,195,597,0,872,0.9116483881688268,1,1,1,1,1,0,0,0,1,0,1
51,239140,Dying Light,Techland,Techland,353740,18189,15000000,2243,250,1249,195,899,8242,0.951095504787204,1,0,1,0,0,0,0,0,0,0,0
52,367520,Hollow Knight,Team Cherry,Team Cherry,272996,7878,15000000,1814,349,562,357,749,6471,0.971951836054601,1,0,0,1,1,0,0,0,0,0,0
53,251570,7 Days to Die,The Fun Pimps,The Fun Pimps Entertainment LLC,222453,29103,15000000,4961,591,1319,293,599,24988,0.8843080665935219,1,1,1,1,1,0,1,1,0,0,0
54,220,Half-Life 2,Valve,Valve,156745,3972,7500000,677,71,338,93,99,1819,0.9752857507295432,1,0,0,0,0,0,0,0,0,0,0
55,1517290,Battlefield 2042,DICE,Electronic Arts,63543,120262,7500000,3247,547,1588,483,1799,14302,0.3457087674437583,1,0,0,0,1,0,0,0,0,0,0
56,218230,PlanetSide 2,Rogue Planet Games,Daybreak Game Company,56459,12673,7500000,1728,3795,153,4051,0,1492,0.8166840247642192,1,0,0,0,0,0,0,0,0,1,1
57,80,Counter-Strike: Condition Zero,Valve,Valve,20546,1957,7500000,2057,0,38,0,99,552,0.9130338177131938,1,0,0,0,0,0,0,0,0,0,0
58,1174180,Red Dead Redemption 2,Rockstar Games,Rockstar Games,346290,38401,7500000,4515,383,2033,139,1979,33085,0.9001770251968463,1,0,0,0,1,0,0,0,0,0,0
