name,24 Entertainment,343 Industries,"343 Industries, Splash Damage, Ruffian Games, Bungie, Saber Interactive",Amazon Games,Aurora Studio,Avalanche Software,Axolot Games,Behaviour Interactive Inc.,BetaDwarf,Blue Mammoth Games,Bohemia Interactive,Bungie,"CAPCOM Co., Ltd.","CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)",Crate Entertainment,Crazy Rocks Studios,Cryptic Studios,"Crystal Dynamics, Eidos-Montréal, Feral Interactive (Mac), Nixxes",DICE,"DONTNOD Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)",Daybreak Game Company,Digital Extremes,Endnight Games Ltd,Evil Mojo Games,"Expansive Worlds, Avalanche Studios",Facepunch Studios,Freejam,FromSoftware,FromSoftware Inc.,"FromSoftware, Inc.",Gaijin Entertainment,Gearbox Software,"Gearbox Software, Aspyr (Mac), Aspyr (Linux)",Grinding Gear Games,Hello Games,Heroic Leap Games,Hopoo Games,Infinity Ward,"Infinity Ward, Raven Software, Beenox, Treyarch, High Moon Studios, Sledgehammer Games, Activision Shanghai, Demonware, Toys for Bob",Iron Gate AB,KOG,"KRAFTON, Inc.",Kinetic Games,MY.GAMES,Massive Entertainment,Mediatonic,"Nicalis, Inc., Edmund McMillen",No More Room in Hell Team,Northwood Studios,OVERKILL - a Starbreeze Studio.,Pearl Abyss,Psyonix LLC,Rare Ltd,Re-Logic,Respawn Entertainment,RobTop Games,Rockstar Games,Rockstar North,"Rockstar North, Rockstar Toronto",Rogue Planet Games,Smartly Dressed Games,Smilegate RPG,Splash Damage,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC",TLM Partners,Team Cherry,Techland,The Behemoth,The Fun Pimps,Titan Forge Games,"Treyarch, Aspyr (Mac)",Turtle Rock Studios,Ubisoft Montreal,"VALOFE, NS STUDIO",Valve,"Valve, Hidden Path Entertainment","Valve, NEXON",Wargaming Group Limited,World Makers,gamigo US Inc.,鬼谷工作室
7 Days to Die,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ARK: Survival Evolved,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apex Legends,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arma 3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assassin’s Creed IV Black Flag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Battlefield 2042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Black Desert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Black Squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Borderlands 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brawlhalla,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
